SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
SubCondoName,,"Sub Condo Name",R1454,"Sub Condo Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SubdivisionNumber,,"Subdivision Number",R1455,"Subdivision Number",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Table,,Table,R1458,Table,75,Character,,1,Lookup,Left,0,,Table,1,,,,,,0,,0,,,,,
TenantPays,,"Tenant Pays",R1461,"Tenant Pays",1000,Character,,1,LookupMulti,Left,0,,TenantPays,100,,,,,,0,,0,,,,,
TotalArea,,"Total Area",R1462,"Total Area",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
TotalFloors,,"Total Floors",R1464,"Total Floors",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Township,,Township,R1465,Township,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
TransferFee,,"Transfer Fee",R1467,"Transfer Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
UnitCount,,"Unit Count",R1468,"Unit Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
UnitFloor,,"Unit Floor",R1469,"Unit Floor",5,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
UnitNumber,,"Unit Number",R1470,"Unit Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
UnitsinBuilding,,"Unitsin Building",R1471,"Unitsin Building",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
UnitsinComplex,,"Unitsin Complex",R1472,"Unitsin Complex",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
View,,View,R1474,View,1000,Character,,1,LookupMulti,Left,0,,View,100,,,,,,0,,0,,,,,
VirtualTourURL,,"Virtual Tour URL",R1475,"Virtual Tour URL",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
VirtualTourURL2,,"Virtual Tour URL 2",R2673,"Virtual Tour URL 2",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
WaterfrontDesc,,"Waterfront Desc",R1476,"Waterfront Desc",1000,Character,,1,LookupMulti,Left,0,,WaterfrontDesc,100,,,,,,0,,0,,,,,
WaterfrontYN,,"Waterfront YN",R1477,"Waterfront YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
WeeksAvailable,,"Weeks Available",R4337,"Weeks Available",1000,Character,,1,LookupMulti,Left,0,,WeeksAvailable,100,,,,,,0,,0,,,,,
YearBuilt,,"Year Built",R1480,"Year Built",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
