SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
LegalUnit,,"Legal Unit",R1581,"Legal Unit",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R1583,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R1584,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentFullName,,"List Agent Full Name",R1586,"List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentMLSID,,"List Agent MLSID",R1587,"List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListingOnInternetYN,,"Listing On Internet YN",R1589,"Listing On Internet YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOffice_MUI,,"List Office MUI",R1591,"List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListOfficeMLSID,,"List Office MLSID",R1592,"List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficeName,,"List Office Name",R1593,"List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficePhone,,"List Office Phone",R1594,"List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListPrice,,"List Price",R1595,"List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
Longitude,,Longitude,R1596,Longitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LotBack,,"Lot Back",R1597,"Lot Back",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotDesc,,"Lot Desc",R1598,"Lot Desc",1000,Character,,1,LookupMulti,Left,0,,LotDesc,100,,,,,,0,,0,,,,,
LotFrontage,,"Lot Frontage",R1599,"Lot Frontage",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotLeft,,"Lot Left",R1600,"Lot Left",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotRight,,"Lot Right",R1601,"Lot Right",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotType,,"Lot Type",R1605,"Lot Type",75,Character,,1,Lookup,Left,0,,LotType,1,,,,,,0,,0,,,,,
LotUnit,,"Lot Unit",R1606,"Lot Unit",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Maintenance,,Maintenance,R1607,Maintenance,1000,Character,,1,LookupMulti,Left,0,,Maintenance,100,,,,,,0,,0,,,,,
Management,,Management,R2281,Management,75,Character,,1,Lookup,Left,0,,Management,1,,,,,,0,,0,,,,,
MandatoryClubFee,,"Mandatory Club Fee",R1608,"Mandatory Club Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
MandatoryClubFeeFreq,,"Mandatory Club Fee Freq",R1609,"Mandatory Club Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
MandatoryHOAYN,,"Mandatory HOAYN",R2349,"Mandatory HOAYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
MasterHOAFee,,"Master HOA Fee",R1611,"Master HOA Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
MasterHOAFeeFreq,,"Master HOA Fee Freq",R1612,"Master HOA Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
matrix_unique_id,,"Matrix Unique ID",R1613,"Matrix Unique ID",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,1,,,,,
MatrixModifiedDT,,"Matrix Modified DT",R1614,"Matrix Modified DT",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
MLS,,MLS,R1616,MLS,75,Character,,1,Lookup,Left,0,,MLS,1,,,,,,0,,0,,,,,
MLSAreaMajor,,"MLS Area Major",R1617,"MLS Area Major",75,Character,,1,Lookup,Left,0,,MLSAreaMajor,1,,,,,,0,,0,,,,,
MLSNumber,,"MLS Number",R1619,"MLS Number",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NonRepComp,,"Non Rep Comp",R1620,"Non Rep Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NumberOfParcelsLots,,"Number Of Parcels Lots",R1621,"Number Of Parcels Lots",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeLandLeaseFee,,"One Time Land Lease Fee",R1624,"One Time Land Lease Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeMandatoryClubFee,,"One Time Mandatory Club Fee",R1625,"One Time Mandatory Club ",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeOtheFee,,"One Time Othe Fee",R1626,"One Time Othe Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeRecLeaseFee,,"One Time Rec Lease Fee",R1627,"One Time Rec Lease Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeSpecialAssessmentFee,,"One Time Special Assessment Fee",R1628,"One Time Special Assessm",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OriginalListPrice,,"Original List Price",R1632,"Original List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
OtherAssessments,,"Other Assessments",R1633,"Other Assessments",1000,Character,,1,LookupMulti,Left,0,,OtherAssessments,100,,,,,,0,,0,,,,,
OtherPIDs,,"Other PI Ds",R1634,"Other PI Ds",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
OWNINT,,OWNINT,R4374,OWNINT,75,Character,,1,Lookup,Left,0,,OWNINT,1,,,,,,0,,0,,,,,
ParcelNumber,,"Parcel Number",R1636,"Parcel Number",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PhotoCount,,"Photo Count",R1640,"Photo Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PhotoModificationTimestamp,,"Photo Modification Timestamp",R1641,"Photo Modification Times",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
PlannedUse,,"Planned Use",R1642,"Planned Use",1000,Character,,1,LookupMulti,Left,0,,PlannedUse,100,,,,,,0,,0,,,,,
Possession,,Possession,R1643,Possession,1000,Character,,1,LookupMulti,Left,0,,Possession,100,,,,,,0,,0,,,,,
PostalCode,,"Postal Code",R1644,"Postal Code",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PostalCodePlus4,,"Postal Code Plus 4",R1645,"Postal Code Plus 4",4,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PotentialShortSaleYN,,"Potential Short Sale YN",R1647,"Potential Short Sale YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PricePerAcre,,"Price Per Acre",R1650,"Price Per Acre",14,Decimal,2,1,Number,Right,0,,,,,,0,9999999999,,0,,0,,,,,
PropertyAddressonInternetYN,,"Property Addresson Internet YN",R1652,"Property Addresson Inter",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyInformation,,"Property Information",R1654,"Property Information",3000,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyType,,"Property Type",R1656,"Property Type",75,Character,,1,Lookup,Left,0,,PropertyType,1,,,,,,0,,0,,,,,
Range,,Range,R1659,Range,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
RearExposure,,"Rear Exposure",R1665,"Rear Exposure",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
Restrictions,,Restrictions,R1666,Restrictions,1000,Character,,1,LookupMulti,Left,0,,Restrictions,100,,,,,,0,,0,,,,,
Road,,Road,R1667,Road,1000,Character,,1,LookupMulti,Left,0,,Road,100,,,,,,0,,0,,,,,
RoomCount,,"Room Count",R1668,"Room Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Section,,Section,R1669,Section,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
SellerConcessionAmount,,"Seller Concession Amount",R2640,"Seller Concession Amount",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgent_MUI,,"Selling Agent MUI",R1672,"Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingAgentDirectWorkPhone,,"Selling Agent Direct Work Phone",R1673,"Selling Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentFullName,,"Selling Agent Full Name",R1675,"Selling Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentMLSID,,"Selling Agent MLSID",R1676,"Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOffice_MUI,,"Selling Office MUI",R1677,"Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingOfficeMLSID,,"Selling Office MLSID",R1678,"Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficeName,,"Selling Office Name",R1679,"Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficePhone,,"Selling Office Phone",R1680,"Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentAddress,,"Settlement Agent Address",R2641,"Settlement Agent Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentEmail,,"Settlement Agent Email",R2642,"Settlement Agent Email",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentName,,"Settlement Agent Name",R2643,"Settlement Agent Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentPhone,,"Settlement Agent Phone",R2644,"Settlement Agent Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Sewer,,Sewer,R1682,Sewer,1000,Character,,1,LookupMulti,Left,0,,Sewer,100,,,,,,0,,0,,,,,
SHOWING_INSTRUCTIONS_YN,,"SHOWING INSTRUCTIONS YN",R2692,"SHOWING INSTRUCTIONS YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
SourceofMeasureLotDimensions,,"Sourceof Measure Lot Dimensions",R2282,"Sourceof Measure Lot Dim",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasureLotDimensions,100,,,,,,0,,0,,,,,
SourceofMeasureLotSize,,"Sourceof Measurements",R1688,"Sourceof Measurements",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasurements,100,,,,,,0,,0,,,,,
SpecialAssessment,,"Special Assessment",R1689,"Special Assessment",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
SpecialAssessmentFeeFreq,,"Special Assessment Fee Freq",R1690,"Special Assessment Fee F",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
SpecialInformation,,"Special Information",R1691,"Special Information",1000,Character,,1,LookupMulti,Left,0,,SpecialInformation,100,,,,,,0,,0,,,,,
StateOrProvince,,"State Or Province",R1693,"State Or Province",2,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Status,,Status,R1694,Status,75,Character,,1,Lookup,Left,0,,Status,1,,,,,,0,,0,,,,,
StatusType,,"Status Type",R2350,"Status Type",75,Character,,1,Lookup,Left,0,,StatusType,1,,,,,,0,,0,,,,,
StreetDirPrefix,,"Street Dir Prefix",R1698,"Street Dir Prefix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
