SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
ForeclosedREOYN,,"Foreclosed REOYN",R693,"Foreclosed REOYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FullAddress,,"Full Address",R694,"Full Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
FurnishedDesc,,"Furnished Desc",R695,"Furnished Desc",1000,Character,,1,LookupMulti,Left,0,,FurnishedDesc,100,,,,,,0,,0,,,,,
GarageDesc,,"Garage Desc",R696,"Garage Desc",75,Character,,1,Lookup,Left,0,,GarageDesc,1,,,,,,0,,0,,,,,
GarageDimension,,"Garage Dimension",R697,"Garage Dimension",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
GarageSpaces,,"Garage Spaces",R698,"Garage Spaces",11,Decimal,2,1,Number,Right,0,,,,,,-9999999,9999999,,0,,0,,,,,
GasDescription,,"Gas Description",R4171,"Gas Description",1000,Character,,1,LookupMulti,Left,0,,GasDescription,100,,,,,,0,,0,,,,,
GolfType,,"Golf Type",R2678,"Golf Type",1000,Character,,1,LookupMulti,Left,0,,GolfType,100,,,,,,0,,0,,,,,
GuestHouseDesc,,"Guest House Desc",R699,"Guest House Desc",1000,Character,,1,LookupMulti,Left,0,,GuestHouseDesc,100,,,,,,0,,0,,,,,
GuestHouseLivingArea,,"Guest House Living Area",R700,"Guest House Living Area",40,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
GulfAccessType,,"Gulf Access Type",R701,"Gulf Access Type",1000,Character,,1,LookupMulti,Left,0,,GulfAccessType,100,,,,,,0,,0,,,,,
GulfAccessYN,,"Gulf Access YN",R702,"Gulf Access YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Heat,,Heat,R703,Heat,1000,Character,,1,LookupMulti,Left,0,,Heat,100,,,,,,0,,0,,,,,
HighSchool,,"High School",R704,"High School",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
HOADesc,,"HOA Desc",R705,"HOA Desc",75,Character,,1,Lookup,Left,0,,HOADesc,1,,,,,,0,,0,,,,,
HOAFee,,"HOA Fee",R706,"HOA Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
HOAFeeFreq,,"HOA Fee Freq",R707,"HOA Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
IDXOptInYN,,"IDX Opt In YN",R708,"IDX Opt In YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
InteriorFeatures,,"Interior Features",R710,"Interior Features",1000,Character,,1,LookupMulti,Left,0,,InteriorFeatures,100,,,,,,0,,0,,,,,
InternetSites,,"Internet Sites",R711,"Internet Sites",1000,Character,,1,LookupMulti,Left,0,,InternetSites,100,,,,,,0,,0,,,,,
Irrigation,,Irrigation,R712,Irrigation,1000,Character,,1,LookupMulti,Left,0,,Irrigation,100,,,,,,0,,0,,,,,
KitchenDescription,,"Kitchen Description",R2299,"Kitchen Description",1000,Character,,1,LookupMulti,Left,0,,KitchenDescription,100,,,,,,0,,0,,,,,
LandLeaseFee,,"Land Lease Fee",R715,"Land Lease Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
LandLeaseFeeFreq,,"Land Lease Fee Freq",R716,"Land Lease Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
LastChangeTimestamp,,"Last Change Timestamp",R717,"Last Change Timestamp",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeType,,"Last Change Type",R718,"Last Change Type",75,Character,,1,Lookup,Left,0,,LastChangeType,1,,,,,,0,,0,,,,,
Latitude,,Latitude,R721,Latitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LeaseLimitsYN,,"Lease Limits YN",R722,"Lease Limits YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
LeasesPerYear,,"Leases Per Year",R723,"Leases Per Year",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LegalDesc,,"Legal Desc",R724,"Legal Desc",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LegalUnit,,"Legal Unit",R725,"Legal Unit",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R727,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R728,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentFullName,,"List Agent Full Name",R730,"List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentMLSID,,"List Agent MLSID",R731,"List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListingOnInternetYN,,"Listing On Internet YN",R733,"Listing On Internet YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOffice_MUI,,"List Office MUI",R734,"List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListOfficeMLSID,,"List Office MLSID",R735,"List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficeName,,"List Office Name",R736,"List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficePhone,,"List Office Phone",R737,"List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListPrice,,"List Price",R738,"List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
Longitude,,Longitude,R739,Longitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LotBack,,"Lot Back",R740,"Lot Back",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotDesc,,"Lot Desc",R854,"Lot Desc",1000,Character,,1,LookupMulti,Left,0,,LotDesc,100,,,,,,0,,0,,,,,
LotFrontage,,"Lot Frontage",R741,"Lot Frontage",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotLeft,,"Lot Left",R742,"Lot Left",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotRight,,"Lot Right",R743,"Lot Right",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotUnit,,"Lot Unit",R746,"Lot Unit",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Maintenance,,Maintenance,R856,Maintenance,1000,Character,,1,LookupMulti,Left,0,,Maintenance,100,,,,,,0,,0,,,,,
Management,,Management,R2274,Management,75,Character,,1,Lookup,Left,0,,Management,1,,,,,,0,,0,,,,,
MandatoryClubFee,,"Mandatory Club Fee",R747,"Mandatory Club Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
MandatoryClubFeeFreq,,"Mandatory Club Fee Freq",R857,"Mandatory Club Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
MandatoryHOAYN,,"Mandatory HOAYN",R748,"Mandatory HOAYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
MasterBathDescription,,"Master Bath Description",R2275,"Master Bath Description",1000,Character,,1,LookupMulti,Left,0,,MasterBathDescription,100,,,,,,0,,0,,,,,
MasterHOAFee,,"Master HOA Fee",R749,"Master HOA Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
MasterHOAFeeFreq,,"Master HOA Fee Freq",R858,"Master HOA Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
matrix_unique_id,,"Matrix Unique ID",R750,"Matrix Unique ID",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,1,,,,,
MatrixModifiedDT,,"Matrix Modified DT",R751,"Matrix Modified DT",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
MiddleSchool,,"Middle School",R753,"Middle School",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
MinDaysofLease,,"Min Daysof Lease",R754,"Min Daysof Lease",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
MLS,,MLS,R859,MLS,75,Character,,1,Lookup,Left,0,,MLS,1,,,,,,0,,0,,,,,
